date,open,close,volume,yield,beta,p_e,roe,roa
2021-01-08,959.4,958.0,14940,,,129.6,31.4  %,3.4  %
2021-01-15,958.0,951.0,32818,-0.007306889352818424,,129.6,31.4  %,3.4  %
2021-01-22,942.6,951.0,39984,0.0,,129.6,31.4  %,3.4  %
2021-01-29,950.4,956.8,68961,0.0060988433228179595,,129.6,31.4  %,3.4  %
2021-02-05,956.8,1005.4,169526,0.05079431438127102,,129.6,31.4  %,3.4  %
2021-02-12,1024.8,1072.4,224630,0.06664014322657663,,129.6,31.4  %,3.4  %
2021-02-19,1060.0,1088.8,75563,0.015292801193584449,,129.6,31.4  %,3.4  %
2021-02-26,1089.8,1160.0,117347,0.06539309331373988,,129.6,31.4  %,3.4  %
2021-03-05,1179.8,1205.0,131582,0.0387931034482758,,129.6,31.4  %,3.4  %
2021-03-12,1205.0,1190.0,78464,-0.012448132780082943,,129.6,31.4  %,3.4  %
2021-03-19,1191.4,1250.0,99092,0.050420168067226934,,129.6,31.4  %,3.4  %
2021-03-26,1263.8,1260.0,80217,0.008000000000000007,,129.6,31.4  %,3.4  %
2021-04-02,1264.0,1295.6,99159,0.028253968253968198,,129.6,31.4  %,3.4  %
2021-04-09,1299.8,1502.0,310214,0.1593084285273234,,129.6,31.4  %,3.4  %
2021-04-16,1499.8,1535.0,341036,0.021970705725699036,,129.6,31.4  %,3.4  %
2021-04-23,1548.0,1540.0,210599,0.0032573289902280145,,129.6,31.4  %,3.4  %
2021-04-30,1537.8,1540.0,78303,0.0,,129.6,31.4  %,3.4  %
2021-05-07,1546.8,1546.2,24949,0.004025974025974044,,129.6,31.4  %,3.4  %
2021-05-14,1550.2,1536.0,48268,-0.006596818005432659,,129.6,31.4  %,3.4  %
2021-05-21,1535.8,1529.8,94969,-0.004036458333333326,,129.6,31.4  %,3.4  %
2021-05-28,1525.2,1527.0,85942,-0.0018303046149823476,,129.6,31.4  %,3.4  %
2021-06-04,1527.0,1580.0,112321,0.034708578912901134,,129.6,31.4  %,3.4  %
2021-06-11,1596.8,1654.0,235190,0.04683544303797471,,129.6,31.4  %,3.4  %
2021-06-18,1666.4,1664.6,35289,0.006408706166868061,,129.6,31.4  %,3.4  %
2021-06-25,1664.6,1688.0,83475,0.014057431214706373,,129.6,31.4  %,3.4  %
2021-07-02,1666.2,1665.2,63804,-0.013507109004739282,,129.6,31.4  %,3.4  %
2021-07-09,1669.8,1800.0,110961,0.08095123708863805,,129.6,31.4  %,3.4  %
2021-07-16,1800.0,2036.8,407532,0.13155555555555543,,129.6,31.4  %,3.4  %
2021-07-23,2049.0,2360.0,1012038,0.15868028279654367,,129.6,31.4  %,3.4  %
2021-07-30,2440.0,2358.4,246808,-0.0006779661016949046,,129.6,31.4  %,3.4  %
2021-08-06,2369.0,2465.2,178157,0.045284938941655195,,129.6,31.4  %,3.4  %
2021-08-13,2468.0,3000.0,778194,0.21693980204445906,,129.6,31.4  %,3.4  %
2021-08-20,3050.0,3355.0,842760,0.1183333333333334,,129.6,31.4  %,3.4  %
2021-08-27,3390.0,3399.2,627041,0.013174366616989452,,129.6,31.4  %,3.4  %
2021-09-03,3430.2,3900.0,631972,0.14732878324311605,,129.6,31.4  %,3.4  %
2021-09-10,3898.8,4683.8,1051742,0.2009743589743591,,129.6,31.4  %,3.4  %
2021-09-17,4800.0,5716.4,1646439,0.22046201801955667,,129.6,31.4  %,3.4  %
2021-09-24,5654.0,5262.0,1261853,-0.07949058848226154,,129.6,31.4  %,3.4  %
2021-10-01,5262.0,4876.0,1065529,-0.07335613835043708,,129.6,31.4  %,3.4  %
2021-10-08,4778.4,4936.8,500757,0.01246923707957337,,129.6,31.4  %,3.4  %
2021-10-15,4936.8,4808.6,195076,-0.025968238535083454,,129.6,31.4  %,3.4  %
2021-10-22,4830.0,4800.2,161531,-0.001746870190908023,,129.6,31.4  %,3.4  %
2021-10-29,4997.0,4910.0,147616,0.022874046914711954,,129.6,31.4  %,3.4  %
2021-11-05,4805.0,4910.2,73103,4.07331975560421e-05,,129.6,31.4  %,3.4  %
2021-11-12,4910.2,4885.0,154958,-0.005132173842205989,,129.6,31.4  %,3.4  %
2021-11-19,4820.0,4730.0,148420,-0.03172978505629476,,129.6,31.4  %,3.4  %
2021-11-26,4730.2,4710.0,202857,-0.0042283298097252064,,129.6,31.4  %,3.4  %
2021-12-03,4710.0,5110.0,341428,0.0849256900212314,,129.6,31.4  %,3.4  %
2021-12-10,5110.0,5083.8,185289,-0.005127201565557682,,129.6,31.4  %,3.4  %
2021-12-17,5160.0,4910.2,124247,-0.03414768480270669,,129.6,31.4  %,3.4  %
2021-12-24,5020.0,4760.2,122045,-0.030548653822654925,,129.6,31.4  %,3.4  %
2021-12-31,4787.8,4850.0,89734,0.0188647535817823,,129.6,31.4  %,3.4  %
2022-01-07,4910.0,4901.0,42834,0.01051546391752578,,19.9,79.5  %,6.7  %
2022-01-14,4876.4,4869.2,41644,-0.006488471740461188,,19.9,79.5  %,6.7  %
2022-01-21,4810.0,4687.0,46553,-0.03741887784440967,,19.9,79.5  %,6.7  %
2022-01-28,4687.4,4487.0,165978,-0.04267121826328146,,19.9,79.5  %,6.7  %
2022-02-04,4526.0,4504.0,76756,0.003788722977490444,,19.9,79.5  %,6.7  %
2022-02-11,4503.5,4693.5,72545,0.04207371225577261,,19.9,79.5  %,6.7  %
2022-02-18,4664.5,4419.0,79821,-0.05848513902205177,,19.9,79.5  %,6.7  %
2022-02-25,4445.5,2597.5,236769,-0.4121973297126047,,19.9,79.5  %,6.7  %
2022-04-01,2597.5,3149.5,599074,0.21251203079884506,,19.9,79.5  %,6.7  %
2022-04-08,3220.0,2660.5,277195,-0.15526274011747898,,19.9,79.5  %,6.7  %
2022-04-15,2660.0,2315.5,200238,-0.12967487314414583,,19.9,79.5  %,6.7  %
2022-04-22,2377.0,2400.0,354150,0.03649319801338802,,19.9,79.5  %,6.7  %
2022-04-29,2400.0,2636.0,309004,0.09833333333333338,,19.9,79.5  %,6.7  %
2022-05-06,2656.0,2424.5,81019,-0.08023520485584223,,19.9,79.5  %,6.7  %
2022-05-13,2475.0,2406.5,60813,-0.007424211177562423,,19.9,79.5  %,6.7  %
2022-05-20,2406.5,2310.0,180025,-0.04009972989819244,,19.9,79.5  %,6.7  %
2022-05-27,2304.0,2368.0,366673,0.02510822510822508,,19.9,79.5  %,6.7  %
2022-06-03,2370.0,2056.5,181224,-0.13154560810810811,,19.9,79.5  %,6.7  %
2022-06-10,2100.0,2300.0,441520,0.11840505713591054,,19.9,79.5  %,6.7  %
2022-06-17,2295.0,2318.0,192555,0.00782608695652165,,19.9,79.5  %,6.7  %
2022-06-24,2340.0,2690.0,984054,0.1604831751509923,,19.9,79.5  %,6.7  %
2022-07-01,2769.5,2798.0,1144810,0.04014869888475836,,19.9,79.5  %,6.7  %
2022-07-08,2830.0,2695.0,186591,-0.0368120085775554,,19.9,79.5  %,6.7  %
2022-07-15,2641.5,2677.0,264285,-0.006679035250463872,,19.9,79.5  %,6.7  %
2022-07-22,2678.0,2835.5,456345,0.05920806873365714,,19.9,79.5  %,6.7  %
2022-07-29,2940.0,2856.5,456390,0.007406101216716587,,19.9,79.5  %,6.7  %
2022-08-05,2858.0,2650.0,233719,-0.0722912655347453,,19.9,79.5  %,6.7  %
2022-08-12,2716.0,2777.0,265690,0.04792452830188676,,19.9,79.5  %,6.7  %
2022-08-19,2781.0,2842.0,182504,0.02340655383507384,,19.9,79.5  %,6.7  %
2022-08-26,2845.0,2935.0,227513,0.03272343420126678,,19.9,79.5  %,6.7  %
2022-09-02,2972.0,3130.0,631309,0.06643952299829636,,19.9,79.5  %,6.7  %
2022-09-09,3170.0,3174.0,264743,0.014057507987220497,,19.9,79.5  %,6.7  %
2022-09-16,3211.0,3118.5,488107,-0.017485822306238186,,19.9,79.5  %,6.7  %
2022-09-23,3117.0,2453.0,782060,-0.21340388007054678,,19.9,79.5  %,6.7  %
2022-09-30,2398.0,2090.5,624815,-0.147778230737872,,19.9,79.5  %,6.7  %
2022-10-07,2105.0,1949.0,1640783,-0.06768715618273136,,19.9,79.5  %,6.7  %
2022-10-14,1873.0,2080.0,602197,0.0672139558748075,,19.9,79.5  %,6.7  %
2022-10-21,2081.0,2253.0,1020816,0.08317307692307696,,19.9,79.5  %,6.7  %
2022-10-28,2344.0,2475.0,889054,0.09853528628495334,,19.9,79.5  %,6.7  %
2022-11-04,2495.0,2467.0,437077,-0.003232323232323253,,19.9,79.5  %,6.7  %
2022-11-11,2485.0,2490.0,285003,0.009323064450749818,,19.9,79.5  %,6.7  %
2022-11-18,2488.0,2490.5,707712,0.0002008032128513193,,19.9,79.5  %,6.7  %
2022-11-25,2486.0,2480.0,304818,-0.0042160208793414755,,19.9,79.5  %,6.7  %
2022-12-02,2468.0,2420.0,203573,-0.024193548387096753,,19.9,79.5  %,6.7  %
2022-12-09,2405.0,2425.0,282219,0.0020661157024792765,,19.9,79.5  %,6.7  %
2022-12-16,2425.0,2486.5,518528,0.025360824742268084,,19.9,79.5  %,6.7  %
2022-12-23,2520.0,2414.0,374684,-0.029157450231248716,,19.9,79.5  %,6.7  %
2022-12-30,2420.0,2415.5,126532,0.0006213753106876219,,19.9,79.5  %,6.7  %
2023-01-06,2430.0,2390.0,94865,-0.010556820534050937,,31.3,84.2  %,4.2  %
2023-01-13,2390.0,2541.0,331072,0.06317991631799158,,31.3,84.2  %,4.2  %
2023-01-20,2539.0,2457.0,194774,-0.03305785123966942,,31.3,84.2  %,4.2  %
2023-01-27,2455.0,2524.5,170169,0.027472527472527375,,31.3,84.2  %,4.2  %
2023-02-03,2531.0,2579.0,389409,0.021588433353139314,,31.3,84.2  %,4.2  %
2023-02-10,2578.0,2675.5,442511,0.037417603722373016,,31.3,84.2  %,4.2  %
2023-02-17,2704.5,2555.0,311654,-0.045038310596150266,,31.3,84.2  %,4.2  %
2023-02-24,2560.0,2549.0,514500,-0.0023483365949119595,,31.3,84.2  %,4.2  %
2023-03-03,2540.0,2546.0,414411,-0.0011769321302471658,,31.3,84.2  %,4.2  %
2023-03-10,2558.0,2535.5,176697,-0.004124116260801225,,31.3,84.2  %,4.2  %
2023-03-17,2536.0,2484.5,382843,-0.020114375862749,,31.3,84.2  %,4.2  %
2023-03-24,2485.0,2452.0,657042,-0.013081102837593117,,31.3,84.2  %,4.2  %
2023-03-31,2434.0,2610.5,1495097,0.06464110929853173,,31.3,84.2  %,4.2  %
2023-04-07,2620.0,2623.0,721361,0.004788354721317667,,31.3,84.2  %,4.2  %
2023-04-14,2648.5,2581.5,498835,-0.015821578345405984,,31.3,84.2  %,4.2  %
2023-04-21,2595.0,2577.0,392948,-0.0017431725740848503,,31.3,84.2  %,4.2  %
2023-04-28,2586.0,2723.5,2562762,0.056849049282110986,,31.3,84.2  %,4.2  %
2023-05-05,2728.0,2485.5,1417317,-0.08738755278134758,,31.3,84.2  %,4.2  %
2023-05-12,2488.0,2542.0,774304,0.02273184469925571,,31.3,84.2  %,4.2  %
2023-05-19,2559.0,2612.0,822881,0.027537372147915073,,31.3,84.2  %,4.2  %
2023-05-26,2622.0,2737.5,1074567,0.048047473200612645,,31.3,84.2  %,4.2  %
2023-06-02,2975.5,3070.5,4566707,0.12164383561643843,,31.3,84.2  %,4.2  %
2023-06-09,3100.0,2996.5,2112453,-0.024100309395863828,,31.3,84.2  %,4.2  %
2023-06-16,3017.5,3101.0,754021,0.03487401968963799,,31.3,84.2  %,4.2  %
2023-06-23,3110.0,3090.0,3242137,-0.003547242824895158,,31.3,84.2  %,4.2  %
2023-06-30,3173.0,3079.0,1284138,-0.0035598705501618255,,31.3,84.2  %,4.2  %
2023-07-07,3110.0,3056.5,608132,-0.007307567392010439,,31.3,84.2  %,4.2  %
2023-07-14,3080.0,3297.0,1727132,0.07868477016194997,,31.3,84.2  %,4.2  %
2023-07-21,3279.0,3598.0,3526102,0.09129511677282376,,31.3,84.2  %,4.2  %
2023-07-28,3630.0,3687.0,1791001,0.02473596442468029,,31.3,84.2  %,4.2  %
2023-08-04,3720.0,3710.0,2282722,0.006238133984268979,,31.3,84.2  %,4.2  %
2023-08-11,3715.0,3735.5,1060950,0.0068733153638813604,,31.3,84.2  %,4.2  %
2023-08-18,3759.0,3657.5,1871450,-0.02088073885691344,,31.3,84.2  %,4.2  %
2023-08-25,3678.5,3813.0,2085889,0.04251537935748462,,31.3,84.2  %,4.2  %
2023-09-01,3855.0,3805.0,1202592,-0.0020980854969839813,,31.3,84.2  %,4.2  %
2023-09-08,3807.5,3843.5,1606515,0.010118265440210328,,31.3,84.2  %,4.2  %
2023-09-15,3861.0,3745.0,872745,-0.025627683101339893,,31.3,84.2  %,4.2  %
2023-09-22,3750.0,3732.0,801670,-0.0034712950600801484,,31.3,84.2  %,4.2  %
2023-09-29,3736.5,3845.0,615713,0.030278670953912012,,31.3,84.2  %,4.2  %
2023-10-06,3846.0,3929.5,1219099,0.02197659297789345,,31.3,84.2  %,4.2  %
2023-10-13,3908.0,3988.5,946948,0.015014632904949643,,31.3,84.2  %,4.2  %
2023-10-20,4034.0,4050.0,876045,0.015419330575404233,,31.3,84.2  %,4.2  %
2023-10-27,4055.0,4009.0,1304075,-0.010123456790123497,,31.3,84.2  %,4.2  %
2023-11-03,4009.0,3942.5,740746,-0.016587677725118488,,31.3,84.2  %,4.2  %
2023-11-10,3942.5,3979.0,416841,0.009258084971464742,,31.3,84.2  %,4.2  %
2023-11-17,3979.0,3949.0,726015,-0.0075395828097512,,31.3,84.2  %,4.2  %
2023-11-24,3950.5,3992.5,551232,0.011015446948594576,,31.3,84.2  %,4.2  %
2023-12-01,3988.0,3890.5,275027,-0.025547902316844118,,31.3,84.2  %,4.2  %
2023-12-08,3891.0,3855.0,489152,-0.009124791157948842,,31.3,84.2  %,4.2  %
2023-12-15,3850.5,3912.0,628317,0.01478599221789878,,31.3,84.2  %,4.2  %
2023-12-22,3912.0,3993.5,450049,0.02083333333333326,,31.3,84.2  %,4.2  %
2023-12-29,3994.0,3849.5,872054,-0.036058595217227984,,31.3,84.2  %,4.2  %
2024-01-05,3851.0,3886.0,79112,0.009481750876737305,,244.8,2.8  %,0.1  %
2024-01-12,3895.0,3844.5,376550,-0.010679361811631538,,244.8,2.8  %,0.1  %
2024-01-19,3847.5,3823.0,330423,-0.005592404734035661,,244.8,2.8  %,0.1  %
2024-01-26,3813.0,3829.0,339504,0.0015694480774262054,,244.8,2.8  %,0.1  %
2024-02-02,3844.0,3796.0,1058066,-0.008618438234526016,,244.8,2.8  %,0.1  %
2024-02-09,3800.0,3738.0,903393,-0.015279241306638602,,244.8,2.8  %,0.1  %
2024-02-16,3738.5,3680.5,860382,-0.015382557517388928,,244.8,2.8  %,0.1  %
2024-02-23,3680.0,3552.5,650183,-0.03477788343975008,,244.8,2.8  %,0.1  %
2024-03-01,3555.0,3683.0,1328890,0.03673469387755102,,244.8,2.8  %,0.1  %
2024-03-08,3701.0,3651.5,658932,-0.008552810209068729,,244.8,2.8  %,0.1  %
2024-03-15,3653.0,3633.5,532852,-0.004929481035190975,,244.8,2.8  %,0.1  %
2024-03-22,3633.5,3453.0,520447,-0.04967662033851661,,244.8,2.8  %,0.1  %
2024-03-29,3453.5,3576.5,600572,0.035766000579206425,,244.8,2.8  %,0.1  %
2024-04-05,3590.0,3686.0,1059607,0.030616524535160172,,244.8,2.8  %,0.1  %
2024-04-12,3720.0,3596.5,969564,-0.024281063483450938,,244.8,2.8  %,0.1  %
2024-04-19,3614.0,3785.0,2147485,0.052412067287640696,,244.8,2.8  %,0.1  %
2024-04-26,3800.0,3763.5,1525083,-0.005680317040951177,,244.8,2.8  %,0.1  %
2024-05-03,3776.5,3691.0,608221,-0.019263982994552897,,244.8,2.8  %,0.1  %
2024-05-10,3692.0,3628.0,1149024,-0.01706854510972633,,244.8,2.8  %,0.1  %
2024-05-17,3628.0,3529.0,1048897,-0.02728776185226023,,244.8,2.8  %,0.1  %
2024-05-24,3519.0,3493.5,1479087,-0.010059506942476593,,244.8,2.8  %,0.1  %
2024-05-31,3500.0,3116.0,1432435,-0.1080578216688135,,244.8,2.8  %,0.1  %
2024-06-07,3100.0,3331.5,1613913,0.06915917843388963,,244.8,2.8  %,0.1  %
2024-06-14,3351.0,3220.0,657941,-0.03346840762419334,,244.8,2.8  %,0.1  %
2024-06-21,3229.0,3040.5,719948,-0.05574534161490685,,244.8,2.8  %,0.1  %
2024-06-28,3040.5,3045.0,555795,0.0014800197335964604,,244.8,2.8  %,0.1  %
2024-07-05,3089.5,3006.5,613962,-0.012643678160919491,,244.8,2.8  %,0.1  %
2024-07-12,3007.5,2867.0,1221253,-0.04639946781972393,,244.8,2.8  %,0.1  %
2024-07-19,2867.0,2906.5,521338,0.013777467736309834,,244.8,2.8  %,0.1  %
2024-07-26,2924.5,2809.5,579637,-0.03337347324961293,,244.8,2.8  %,0.1  %
2024-08-02,2799.0,2646.5,588078,-0.05801744082576976,,244.8,2.8  %,0.1  %
